Sn.No,Diary Phase,HH ID,Were you able to get in contact with the customer? ,3. What fuel was used?,3. What fuel was used?/Electricity,3. What fuel was used?/LPG,3. What fuel was used?/Kerosene,3. What fuel was used?/Charcoal,3. What fuel was used?/Firewood,3. What fuel was used?/Other,Please specify:,"4. What time did you start with any cooking activities? (lighting a fire, chopping vetables)",How much LPG was there before cooking (kg)?,How much kerosene was there before cooking (Litre)?,How much charcoal was there before cooking (kg)?,How much firewood was there before cooking (kg)?,How much other fuel was there before cooking (kg)?,How much LPG was there after cooking (kg)?,How much kerosene was there after cooking (Litre)?,How much charcoal was there after cooking (kg)?,How much firewood was there after cooking (kg)?,How much other fuel was there after cooking (kg)?,How long did it take to start the CHARCOAL fire? (mins),How long did it take to start the WOOD fire? (mins),Was any Charcoal saved for later?,Was any Firewood saved for later?,7. Gender of the cook:,8. Reason for cooking,8. Reason for cooking/Breakfast,8. Reason for cooking/Lunch,8. Reason for cooking/Supper,8. Reason for cooking/Snack,8. Reason for cooking/Food for baby,8. Reason for cooking/Water heating,8. Reason for cooking/Other,Please specify:,How many people were catered for?,9. Adults:,10. Children:,11. Did any food not require cooking?,Please specify:,12. How many dishes were cooked?,13. How many times was water heated?,1a) Which dish was prepared?,Please specify:,1b) What was used?,Please specify:,1c) What was used?,1c) What was used?/Sufuria big,1c) What was used?/Sufuria medium,1c) What was used?/Sufuria small,1c) What was used?/Frying pan,1c) What was used?/Kettle,1c) What was used?/Other,Please specify:,1e) Was a lid used?,1f) Fresh or reheated?,1g) Saving for later?,What time did you start cooking dish 1?,What was the meter reading before cooking?,What time did you finish cooking dish 1?,What was the meter reading after cooking?,2a) Which dish was prepared?,Please specify:,2b) What was used?,Please specify:,2c) What was used?,2c) What was used?/Sufuria big,2c) What was used?/Sufuria medium,2c) What was used?/Sufuria small,2c) What was used?/Frying pan,2c) What was used?/Kettle,2c) What was used?/Other,Please specify:,2e) Was a lid used?,2f) Fresh or reheated?,2g) Saving for later?,What time did you start cooking dish 2?,What was the meter reading before cooking?,What time did you finish cooking dish 2?,What was the meter reading after cooking?,3a) Which dish was prepared?,Please specify:,3b) What was used?,Please specify:,3c) What was used?,3c) What was used?/Sufuria big,3c) What was used?/Sufuria medium,3c) What was used?/Sufuria small,3c) What was used?/Frying pan,3c) What was used?/Kettle,3c) What was used?/Other,Please specify:,3e) Was a lid used?,3f) Fresh or reheated?,3g) Saving for later?,What time did you start cooking dish 3?,What was the meter reading before cooking?,What time did you finish cooking dish 3?,What was the meter reading after cooking?,4a) Which dish was prepared?,Please specify:,4b) What was used?,Please specify:,4c) What was used?,4c) What was used?/Sufuria big,4c) What was used?/Sufuria medium,4c) What was used?/Sufuria small,4c) What was used?/Frying pan,4c) What was used?/Kettle,4c) What was used?/Other,Please specify:,4e) Was a lid used?,4f) Fresh or reheated?,4g) Saving for later?,What time did you start cooking dish 4?,What was the meter reading before cooking?,What time did you finish cooking dish 4?,What was the meter reading after cooking?,5a) Which dish was prepared?,Please specify:,5b) What was used?,Please specify:,5c) What was used?,5c) What was used?/Sufuria big,5c) What was used?/Sufuria medium,5c) What was used?/Sufuria small,5c) What was used?/Frying pan,5c) What was used?/Kettle,5c) What was used?/Other,Please specify:,5e) Was a lid used?,5f) Fresh or reheated?,5g) Saving for later?,What time did you start cooking dish 5?,What was the meter reading before cooking?,What time did you finish cooking dish 5?,What was the meter reading after cooking?,6a) Why was the water heated?,Please specify:,6b) What was used?,Please specify:,6c) What was used?,6c) What was used?/Sufuria big,6c) What was used?/Sufuria medium,6c) What was used?/Sufuria small,6c) What was used?/Frying pan,6c) What was used?/Kettle,6c) What was used?/Other,Please specify:,6d) Was a lid used?,6e) How cold was the water/milk before heating?,6f) Saving for later (thermos)?,What time did you start heating the water 1?,What was the meter reading before cooking?,What time did you finish heating the water 1?,What was the meter reading after cooking?,7a) Why was the water heated?,Please specify:,7b) What was used?,Please specify:,7c) What was used?,7c) What was used?/Sufuria big,7c) What was used?/Sufuria medium,7c) What was used?/Sufuria small,7c) What was used?/Frying pan,7c) What was used?/Kettle,7c) What was used?/Other,Please specify:,7d) Was a lid used?,7e) How cold was the water/milk before heating?,7f) Saving for later (thermos)?,What time did you start heating the water 2?,What was the meter reading before cooking?,What time did you finish heating the water 2?,What was the meter reading after cooking?,What time did you finish all the cooking activities for the meal?,,,,,,,
1327,Pre EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:00:00.000+03:00,,,2,,,,,0,,,5,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,4,1,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,19:30:00.000+03:00,,20:35:00.000+03:00,,Other,Gnuts mixed with silver fish,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Reheated,Preparing meal in advance,20:40:00.000+03:00,,21:00:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,11:40:00.000+03:00,,14:00:00.000+03:00,,Other,Gnuts mixed with silver fish,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,Preparing meal in advance,11:40:00.000+03:00,,14:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:05:00.000+03:00,,11:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,21:00:00.000+03:00,,,,,,,
1328,Pre EPC,700377033,Yes ,Electricity Charcoal,1,0,0,1,0,0,,10:05:00.000+03:00,,,3,,,,,1,,,5,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,4,1,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,19:20:00.000+03:00,,20:40:00.000+03:00,,Other,Peas,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Reheated,Preparing meal in advance,20:45:00.000+03:00,,21:05:00.000+03:00,,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:30:00.000+03:00,,13:50:00.000+03:00,,Other,Peas,Electric pressure cooker,,,,,,,,,,,Fresh,Preparing meal in advance,11:00:00.000+03:00,9,12:00:00.000+03:00,9.1,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:10:00.000+03:00,,11:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,21:05:00.000+03:00,,,,,,,
1329,Pre EPC,700377033,Yes ,Electricity Charcoal,1,0,0,1,0,0,,10:00:00.000+03:00,,,2,,,,,0,,,5,,No,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,2,2,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:50:00.000+03:00,,13:55:00.000+03:00,,Beans,,Electric pressure cooker,,,,,,,,,,,Fresh,None,11:00:00.000+03:00,11,12:00:00.000+03:00,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,20:00:00.000+03:00,,20:50:00.000+03:00,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:00:00.000+03:00,,10:55:00.000+03:00,,20:50:00.000+03:00,,,,,,,
1330,Pre EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:00:00.000+03:00,,,3,,,,,1,,,6,,Yes,,Female,Supper Breakfast Lunch Water heating,1,1,1,0,0,1,0,,,2,3,No,,2,2,Other,Pilao,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Reheated,Preparing meal in advance,19:40:00.000+03:00,,20:20:00.000+03:00,,Other,Pilao,Charcoal stove,,Sufuria big,1,0,0,0,0,0,,Sometimes,Fresh,Preparing meal in advance,12:15:00.000+03:00,,14:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,18:50:00.000+03:00,,19:40:00.000+03:00,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:00:00.000+03:00,,11:00:00.000+03:00,,20:20:00.000+03:00,,,,,,,
1331,Pre EPC,700377033,Yes ,Charcoal Electricity,1,0,0,1,0,0,,10:30:00.000+03:00,,,3,,,,,1,,,6,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,4,1,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,19:35:00.000+03:00,,20:40:00.000+03:00,,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Reheated,Preparing meal in advance,20:40:00.000+03:00,,21:00:00.000+03:00,,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:30:00.000+03:00,,13:50:00.000+03:00,,Beans,,Electric pressure cooker,,,,,,,,,,,Fresh,Preparing meal in advance,12:00:00.000+03:00,8,13:00:00.000+03:00,8.1,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:05:00.000+03:00,,11:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,21:00:00.000+03:00,,,,,,,
1332,Pre EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:20:00.000+03:00,,,3,,,,,1,,,5,,Yes,,Female,Breakfast Lunch Water heating,1,1,0,0,0,1,0,,,2,3,No,,2,2,Other,Posho,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:40:00.000+03:00,,14:00:00.000+03:00,,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,11:10:00.000+03:00,,14:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,19:30:00.000+03:00,,20:55:00.000+03:00,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:20:00.000+03:00,,11:05:00.000+03:00,,20:55:00.000+03:00,,,,,,,
1333,Pre EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:00:00.000+03:00,,,2,,,,,0,,,5,,No,,Male,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,2,1,Other,Irish,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,19:15:00.000+03:00,,20:30:00.000+03:00,,Other,Irish,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:30:00.000+03:00,,13:55:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:10:00.000+03:00,,11:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,20:30:00.000+03:00,,,,,,,
1334,Pre EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:10:00.000+03:00,,,2,,,,,0,,,5,,No,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,2,1,Other,Pilao,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Reheated,Preparing meal in advance,19:50:00.000+03:00,,20:30:00.000+03:00,,Other,Pilao,Charcoal stove,,Sufuria big,1,0,0,0,0,0,,Sometimes,Fresh,Preparing meal in advance,12:30:00.000+03:00,,14:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Sometimes,Fresh,Some,10:10:00.000+03:00,,11:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,20:30:00.000+03:00,,,,,,,
1335,Pre EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:00:00.000+03:00,,,3,,,,,1,,,5,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,4,1,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,19:00:00.000+03:00,,20:00:00.000+03:00,,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Reheated,Preparing meal in advance,20:05:00.000+03:00,,20:30:00.000+03:00,,Other,Posho,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:30:00.000+03:00,,14:00:00.000+03:00,,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,Preparing meal in advance,11:00:00.000+03:00,,14:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:05:00.000+03:00,,11:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,20:30:00.000+03:00,,,,,,,
1336,Post EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:00:00.000+03:00,,,3,,,,,1,,,5,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,3,1,Other,Irish,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,19:40:00.000+03:00,,20:50:00.000+03:00,,Other,Posho,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:00:00.000+03:00,,14:00:00.000+03:00,,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,11:05:00.000+03:00,,13:55:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:05:00.000+03:00,,10:56:00.000+03:00,,,,,,,,,,,,,,,,,,,,,20:50:00.000+03:00,,,,,,,
1337,Post EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:00:00.000+03:00,,,3,,,,,1,,,5,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,3,1,Other,Irish,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,19:30:00.000+03:00,,20:45:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:00:00.000+03:00,,14:00:00.000+03:00,,Other,Gnuts,Charcoal stove,,Sufuria small,0,0,1,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,14:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:05:00.000+03:00,,11:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,20:45:00.000+03:00,,,,,,,
1338,Post EPC,700377033,Yes ,Charcoal Electricity,1,0,0,1,0,0,,10:10:00.000+03:00,,,2,,,,,0,,,5,,No,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,4,1,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,19:40:00.000+03:00,,20:35:00.000+03:00,,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Reheated,Preparing meal in advance,20:40:00.000+03:00,,21:00:00.000+03:00,,Other,Posho,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:00:00.000+03:00,,13:50:00.000+03:00,,Beans,,Electric pressure cooker,,,,,,,,,,,Fresh,Preparing meal in advance,12:00:00.000+03:00,6,13:00:00.000+03:00,6.1,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:00:00.000+03:00,,11:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,21:00:00.000+03:00,,,,,,,
1339,Post EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:00:00.000+03:00,,,3,,,,,1,,,5,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,3,1,Other,Macrons,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,19:50:00.000+03:00,,20:45:00.000+03:00,,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:40:00.000+03:00,,13:55:00.000+03:00,,Other,Peas,Charcoal stove,,Sufuria small,0,0,1,0,0,0,,Sometimes,Fresh,None,11:40:00.000+03:00,,13:45:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:05:00.000+03:00,,10:55:00.000+03:00,,,,,,,,,,,,,,,,,,,,,20:45:00.000+03:00,,,,,,,
1340,Post EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:20:00.000+03:00,,,2,,,,,0,,,5,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,2,1,Other,Irish,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,18:30:00.000+03:00,,19:50:00.000+03:00,,Other,Irish,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:30:00.000+03:00,,14:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:30:00.000+03:00,,11:45:00.000+03:00,,,,,,,,,,,,,,,,,,,,,19:50:00.000+03:00,,,,,,,
1341,Post EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:00:00.000+03:00,,,3,,,,,1,,,5,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,4,1,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,18:00:00.000+03:00,,19:00:00.000+03:00,,"Soup (goat, beef, fish)",,Charcoal stove,,Sufuria small,0,0,1,0,0,0,,Sometimes,Fresh,None,19:05:00.000+03:00,,19:40:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:00:00.000+03:00,,14:00:00.000+03:00,,Other,Peas,Charcoal stove,,Sufuria small,0,0,1,0,0,0,,Sometimes,Fresh,None,11:30:00.000+03:00,,14:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:05:00.000+03:00,,10:55:00.000+03:00,,,,,,,,,,,,,,,,,,,,,19:40:00.000+03:00,,,,,,,
1342,Post EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:30:00.000+03:00,,,2,,,,,0,,,5,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,4,1,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,19:00:00.000+03:00,,20:00:00.000+03:00,,Other,Peas,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Reheated,Preparing meal in advance,20:00:00.000+03:00,,20:30:00.000+03:00,,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:30:00.000+03:00,,13:40:00.000+03:00,,Other,Peas,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,Preparing meal in advance,11:30:00.000+03:00,,13:40:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,09:35:00.000+03:00,,11:25:00.000+03:00,,,,,,,,,,,,,,,,,,,,,20:30:00.000+03:00,,,,,,,
1343,Post EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:00:00.000+03:00,,,2,,,,,0,,,5,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,3,No,,4,1,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,18:30:00.000+03:00,,19:30:00.000+03:00,,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Reheated,Preparing meal in advance,19:35:00.000+03:00,,20:00:00.000+03:00,,Other,Posho,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:00:00.000+03:00,,13:55:00.000+03:00,,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,Preparing meal in advance,11:00:00.000+03:00,,13:55:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:05:00.000+03:00,,10:55:00.000+03:00,,,,,,,,,,,,,,,,,,,,,20:00:00.000+03:00,,,,,,,
1344,Post EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:00:00.000+03:00,,,3,,,,,1,,,5,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,3,2,No,,4,1,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,19:00:00.000+03:00,,20:00:00.000+03:00,,Other,Gnuts mixed with silver fish,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Reheated,Preparing meal in advance,20:05:00.000+03:00,,20:25:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:00:00.000+03:00,,14:00:00.000+03:00,,Other,Gnuts mixed with silver fish,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,Preparing meal in advance,12:50:00.000+03:00,,14:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:05:00.000+03:00,,10:55:00.000+03:00,,,,,,,,,,,,,,,,,,,,,20:25:00.000+03:00,,,,,,,
1345,Post EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:00:00.000+03:00,,,3,,,,,1,,,4,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,3,2,No,,4,1,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,19:00:00.000+03:00,,20:00:00.000+03:00,,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Reheated,Preparing meal in advance,20:05:00.000+03:00,,20:30:00.000+03:00,,Other,Posho,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:30:00.000+03:00,,13:55:00.000+03:00,,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,Preparing meal in advance,11:00:00.000+03:00,,13:55:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:05:00.000+03:00,,10:55:00.000+03:00,,,,,,,,,,,,,,,,,,,,,20:30:00.000+03:00,,,,,,,
1346,Post EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,09:50:00.000+03:00,,,20,,,,,18,,,4,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,3,2,No,,2,2,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,None,12:00:00.000+03:00,,14:00:00.000+03:00,,"Soup (goat, beef, fish)",,Charcoal stove,,Sufuria small,0,0,1,0,0,0,,Sometimes,Fresh,None,12:00:00.000+03:00,,14:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,19:00:00.000+03:00,,20:00:00.000+03:00,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,09:55:00.000+03:00,,10:45:00.000+03:00,,20:00:00.000+03:00,,,,,,,
1347,Post EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,10:00:00.000+03:00,,,22,,,,,20,,,5,,Yes,,Female,Lunch Breakfast Supper,1,1,1,0,0,0,0,,,3,2,No,,2,1,Other,Irish,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Reheated,Preparing meal in advance,18:50:00.000+03:00,,19:35:00.000+03:00,,Other,Irish,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,Preparing meal in advance,12:00:00.000+03:00,,13:20:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:05:00.000+03:00,,11:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,19:35:00.000+03:00,,,,,,,
1348,Post EPC,700377033,Yes ,Charcoal,0,0,0,1,0,0,,09:50:00.000+03:00,,,24,,,,,22,,,5,,Yes,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,3,2,No,,2,1,Other,Pilao,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Reheated,Preparing meal in advance,19:20:00.000+03:00,,20:00:00.000+03:00,,Other,Pilao,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Sometimes,Fresh,Preparing meal in advance,12:15:00.000+03:00,,14:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,10:00:00.000+03:00,,10:55:00.000+03:00,,,,,,,,,,,,,,,,,,,,,20:20:00.000+03:00,,,,,,,
